distribution,sample_size,arg1,arg2,ID
binomial,100000,325,0.968245476,162
weibull,100000,0.761729255,,163
poisson,10000,78,,164
weibull,10000,0.955302286,,165
binomial,1000,745,0.248327841,166
poisson,10000,11,,167
weibull,10000,0.042700201,,168
weibull,1000,0.022002014,,169
normal,1000,8.920838191,0.807664333,170
weibull,100000,0.275560007,,171
weibull,10000,0.720291548,,172
binomial,100000,874,0.629011562,173
poisson,10000,43,,174
weibull,1000,0.940965645,,175
uniform,100000,0,4.125976701,176
weibull,100000,0.455664461,,177
uniform,1000,0,34.12066049,178
uniform,10000,0,46.21525741,179
uniform,100000,0,8.890398899,180
normal,1000,69.4931682,41.06421669,181
uniform,1000,0,24.73508525,182
weibull,1000,0.527181029,,183
weibull,10000,0.317011454,,184
weibull,10000,0.508514544,,185
poisson,10000,77,,186
binomial,1000,415,0.876517985,187
normal,100000,72.92169542,32.69230307,188
poisson,10000,7,,189
binomial,1000,828,0.665476233,190
normal,100000,87.5934915,6.903560329,191
binomial,100000,321,0.775731487,192
normal,10000,83.0227573,47.90194497,193
normal,100000,51.17453745,30.40033202,194
normal,1000,25.57106648,47.59617152,195
binomial,100000,342,0.770166443,196
weibull,100000,0.344521638,,197
binomial,100000,1,0.161087194,198
poisson,10000,89,,199
binomial,1000,885,0.414620973,200
normal,10000,22.33613016,20.38655607,201
uniform,10000,0,40.77910899,202
weibull,100000,0.949303681,,203
poisson,10000,78,,204
poisson,100000,44,,205
binomial,100000,419,0.630106424,206
normal,1000,41.00745449,21.93038922,207
uniform,1000,0,22.32321745,208
poisson,10000,52,,209
binomial,10000,921,0.749200076,210
binomial,100000,787,0.448504519,211
uniform,1000,0,37.91454812,212
binomial,1000,220,0.603767752,213
uniform,1000,0,4.599266767,214
normal,100000,40.22624129,36.49570363,215
binomial,10000,223,0.425905817,216
weibull,10000,0.023667464,,217
poisson,10000,53,,218
poisson,100000,73,,219
binomial,1000,111,0.093271624,220
uniform,100000,0,6.48193881,221
poisson,10000,67,,222
uniform,100000,0,17.06911089,223
normal,1000,13.84000983,13.37044515,224
normal,100000,64.33398929,8.792653024,225
weibull,1000,0.798020411,,226
normal,10000,40.3677659,49.39627911,227
uniform,1000,0,26.1392614,228
poisson,10000,98,,229
weibull,100000,0.747255006,,230
uniform,10000,0,17.96988979,231
uniform,100000,0,19.54480013,232
normal,100000,64.22776309,17.56226149,233
poisson,1000,63,,234
binomial,1000,354,0.371079652,235
binomial,10000,386,0.044347943,236
poisson,1000,26,,237
normal,10000,37.64644937,13.75249751,238
poisson,10000,54,,239
binomial,1000,684,0.090925533,240
poisson,1000,47,,241
binomial,100000,217,0.361971485,242
binomial,10000,679,0.425781035,243
binomial,100000,541,0.043109499,244
binomial,1000,566,0.566884805,245
uniform,1000,0,35.8739096,246
uniform,100000,0,15.84008286,247
normal,1000,88.23163696,23.79284838,248
normal,10000,5.854706594,48.31349502,249
uniform,100000,0,12.7561909,250
binomial,10000,784,0.589594554,251
uniform,10000,0,1.047247842,252
normal,100000,19.88707888,45.86741194,253
normal,100000,98.64304467,38.63403894,254
weibull,10000,0.833009979,,255
binomial,100000,254,0.211095112,256
binomial,10000,825,0.648518643,257
normal,10000,81.76327125,13.73768258,258
poisson,1000,97,,259
poisson,100000,94,,260
poisson,1000,27,,261
binomial,1000,847,0.072562303,262
normal,1000,72.2407914,41.07208399,263
uniform,1000,0,19.73294927,264
poisson,1000,1,,265
uniform,100000,0,47.08646697,266
poisson,10000,88,,267
normal,1000,3.11102596,36.96786943,268
poisson,1000,97,,269
weibull,100000,0.589566521,,270
poisson,100000,14,,271
uniform,1000,0,49.10952985,272
poisson,1000,4,,273
binomial,1000,722,0.885548265,274
normal,10000,27.03539665,24.16840067,275
binomial,10000,644,0.916693455,276
weibull,100000,0.266402513,,277
poisson,100000,59,,278
poisson,10000,50,,279
weibull,1000,0.803296086,,280
weibull,1000,0.103236198,,281
poisson,10000,73,,282
binomial,1000,72,0.439478581,283
uniform,1000,0,8.204466231,284
binomial,1000,411,0.34666846,285
weibull,100000,0.26136545,,286
uniform,100000,0,33.59409058,287
binomial,1000,976,0.067489026,288
weibull,100000,0.3377092,,289
normal,100000,68.8631945,41.78007285,290
normal,10000,69.39880222,33.10029004,291
binomial,100000,75,0.937210966,292
normal,10000,43.78212941,9.792607452,293
binomial,1000,357,0.01110006,294
weibull,1000,0.252975631,,295
poisson,100000,73,,296
poisson,100000,86,,297
binomial,10000,932,0.540254465,298
uniform,10000,0,26.83578305,299
normal,100000,24.67764599,13.69035295,300
weibull,1000,0.847009951,,301
poisson,1000,3,,302
poisson,100000,27,,303
uniform,1000,0,31.13292558,304
poisson,1000,85,,305
uniform,10000,0,35.09058074,306
normal,1000,95.36906231,10.80449022,307
normal,100000,47.3132417,29.72295433,308
normal,100000,50.95383664,48.84775286,309
uniform,100000,0,6.665723393,310
binomial,100000,999,0.305809789,311
binomial,1000,677,0.855923011,312
normal,100000,86.41893225,12.96984424,313
poisson,100000,90,,314
poisson,100000,5,,315
binomial,100000,398,0.840161436,316
normal,100000,11.97775287,5.045281845,317
binomial,1000,761,0.364153896,318
binomial,1000,323,0.407525801,319
weibull,10000,0.749725472,,320
binomial,10000,404,0.891589644,321
binomial,1000,404,0.201705963,322
poisson,100000,23,,323
poisson,10000,64,,324
poisson,10000,28,,325
poisson,1000,84,,326
normal,1000,96.79291472,26.3096941,327
binomial,10000,146,0.132084573,328
weibull,1000,0.24592193,,329
normal,100000,73.61251261,39.37629664,330
normal,10000,28.37723207,26.59646234,331
uniform,10000,0,45.14338642,332
normal,100000,4.653944764,29.8917552,333
weibull,10000,0.156090112,,334
binomial,10000,394,0.474312595,335
uniform,10000,0,28.20241008,336
binomial,100000,935,0.011716853,337
binomial,10000,729,0.808694627,338
poisson,100000,41,,339
weibull,10000,0.011221644,,340
weibull,10000,0.905404516,,341
weibull,1000,0.554077815,,342
uniform,100000,0,41.96284224,343
weibull,100000,0.158323549,,344
binomial,100000,266,0.404236031,345
weibull,100000,0.033034604,,346
binomial,100000,552,0.545226993,347
uniform,100000,0,9.610981526,348
poisson,10000,89,,349
normal,1000,16.60742202,41.00340647,350
uniform,1000,0,23.40894997,351
binomial,1000,808,0.321747267,352
uniform,1000,0,2.469339284,353
uniform,100000,0,35.66666732,354
binomial,1000,993,0.186295474,355
uniform,1000,0,44.83559225,356
poisson,10000,38,,357
poisson,1000,96,,358
poisson,1000,18,,359
weibull,10000,0.587192597,,360
binomial,10000,585,0.264586336,361
poisson,100000,66,,362
weibull,10000,0.361258878,,363
uniform,1000,0,22.12776775,364
weibull,100000,0.618051415,,365
normal,1000,46.45705167,19.51502292,366
weibull,100000,0.097690904,,367
uniform,100000,0,27.46232388,368
poisson,100000,20,,369
uniform,100000,0,36.88972444,370
weibull,10000,0.698626806,,371
poisson,100000,34,,372
normal,10000,60.71121906,34.16672329,373
poisson,100000,94,,374
poisson,100000,39,,375
weibull,1000,0.181324306,,376
binomial,100000,538,0.629784582,377
uniform,10000,0,10.1962086,378
normal,100000,29.96110456,41.11186573,379
binomial,10000,402,0.393484568,380
normal,100000,46.84450188,13.8467548,381
poisson,1000,82,,382
poisson,1000,62,,383
uniform,10000,0,26.66918074,384
uniform,10000,0,28.40243974,385
poisson,1000,34,,386
binomial,100000,132,0.162077685,387
binomial,1000,293,0.676709079,388
poisson,1000,8,,389
weibull,1000,0.327943528,,390
uniform,10000,0,33.42559573,391
weibull,10000,0.246944186,,392
weibull,1000,0.447495853,,393
normal,10000,10.86017688,9.603967528,394
poisson,1000,55,,395
normal,100000,90.63181098,48.92452504,396
normal,100000,10.93446239,44.96222559,397
poisson,100000,90,,398
poisson,10000,42,,399
weibull,100000,0.043614548,,400
binomial,1000,6,0.095235966,401
uniform,10000,0,1.938935404,402
poisson,100000,68,,403
poisson,100000,55,,404
poisson,10000,22,,405
weibull,10000,0.851138004,,406
poisson,10000,73,,407
normal,10000,73.78699867,44.21361186,408
poisson,1000,62,,409
binomial,100000,143,0.919953109,410
normal,10000,21.85372318,37.37142227,411
weibull,100000,0.779852232,,412
normal,100000,40.32358542,48.98809653,413
uniform,1000,0,4.005681937,414
poisson,10000,33,,415
weibull,10000,0.712845535,,416
normal,100000,49.22159071,19.02600218,417
normal,100000,70.63772954,39.25901174,418
uniform,10000,0,10.55944238,419
weibull,10000,0.834674703,,420
normal,100000,98.72699211,41.50024931,421
normal,10000,31.36325371,41.46195492,422
uniform,100000,0,46.20857197,423
binomial,100000,870,0.841381357,424
weibull,100000,0.744400011,,425
uniform,100000,0,34.68550896,426
normal,1000,37.44910494,0.595643398,427
uniform,10000,0,20.87165509,428
uniform,1000,0,18.43868316,429
uniform,10000,0,15.75473714,430
uniform,1000,0,15.45535082,431
poisson,10000,25,,432
normal,10000,4.104952658,46.17653419,433
weibull,10000,0.817722053,,434
poisson,10000,30,,435
binomial,10000,968,0.045061968,436
uniform,10000,0,4.140217271,437
uniform,100000,0,32.50314787,438
poisson,10000,9,,439
normal,1000,75.18956152,13.95560014,440
poisson,10000,97,,441
poisson,1000,73,,442
normal,100000,14.85555545,28.73265395,443
binomial,1000,447,0.098736857,444
uniform,1000,0,18.3111789,445
uniform,10000,0,37.62621701,446
uniform,10000,0,6.253341119,447
weibull,100000,0.561527779,,448
uniform,1000,0,30.46542107,449
poisson,10000,82,,450
binomial,100000,880,0.901597586,451
weibull,1000,0.1117176,,452
normal,10000,53.47770102,1.598104742,453
normal,100000,14.91580402,42.24943187,454
binomial,100000,971,0.628396316,455
binomial,10000,829,0.922683869,456
weibull,10000,0.088063774,,457
uniform,1000,0,16.09606203,458
normal,10000,84.43001068,12.04492212,459
binomial,100000,49,0.193230414,460
poisson,1000,43,,461
binomial,1000,78,0.844097589,462
normal,1000,97.88771488,47.08695096,463
poisson,10000,66,,464
binomial,100000,657,0.586239803,465
uniform,100000,0,43.1552245,466
poisson,1000,3,,467
uniform,100000,0,26.68064958,468
normal,1000,35.258531,6.796584929,469
normal,1000,17.66249642,43.65878139,470
normal,1000,98.13318578,31.30143209,471
binomial,1000,267,0.878228361,472
weibull,100000,0.708000573,,473
poisson,10000,94,,474
poisson,10000,93,,475
poisson,10000,63,,476
weibull,100000,0.817070866,,477
poisson,100000,87,,478
poisson,1000,42,,479
normal,100000,56.7550362,22.26571413,480
binomial,1000,531,0.90701044,481
uniform,10000,0,25.89786966,482
uniform,10000,0,41.09668587,483
normal,100000,77.65537163,35.70378851,484
poisson,100000,85,,485
uniform,10000,0,34.61268065,486
poisson,10000,65,,487
poisson,10000,28,,488
poisson,100000,13,,489
uniform,10000,0,22.74407342,490
uniform,1000,0,7.250103291,491
poisson,1000,10,,492
uniform,10000,0,15.01177022,493
weibull,100000,0.809026409,,494
binomial,100000,385,0.692557599,495
poisson,100000,21,,496
binomial,10000,782,0.90791353,497
binomial,1000,912,0.330312453,498
binomial,1000,295,0.315106565,499
normal,100000,39.28877499,18.40122116,500
poisson,10000,67,,501
poisson,10000,82,,502
poisson,1000,44,,503
uniform,10000,0,26.24452116,504
uniform,1000,0,15.2707985,505
binomial,10000,907,0.153822564,506
weibull,10000,0.523521687,,507
binomial,100000,907,0.234576391,508
binomial,1000,474,0.417076738,509
normal,100000,71.02454483,20.08339516,510
poisson,10000,31,,511
weibull,100000,0.340626381,,512
poisson,100000,85,,513
normal,1000,76.90872976,6.92778095,514
normal,100000,54.10320091,2.599150306,515
normal,1000,60.70300015,49.98598802,516
normal,10000,82.77905937,8.545356668,517
uniform,100000,0,42.54475759,518
poisson,10000,44,,519
binomial,1000,331,0.946654959,520
normal,1000,71.58143979,16.73896418,521
weibull,1000,0.164441463,,522
normal,100000,66.96739535,12.3866698,523
normal,1000,70.52433382,1.377516011,524
normal,1000,43.69218974,24.66163748,525
normal,1000,56.1961814,47.35561909,526
poisson,100000,50,,527
weibull,10000,0.557332179,,528
weibull,1000,0.622333742,,529
binomial,100000,662,0.380091073,530
weibull,100000,0.800488855,,531
normal,100000,99.18866746,1.229616752,532
binomial,10000,282,0.537771575,533
uniform,100000,0,8.319324946,534
poisson,100000,71,,535
weibull,1000,0.285339275,,536
poisson,100000,6,,537
normal,10000,9.554274302,10.57395396,538
normal,1000,83.56519317,1.991654333,539
binomial,100000,349,0.7882455,540
poisson,10000,48,,541
uniform,1000,0,5.285313233,542
poisson,100000,97,,543
uniform,10000,0,37.33653265,544
weibull,1000,0.692330053,,545
binomial,1000,398,0.709182952,546
weibull,100000,0.845407442,,547
poisson,100000,4,,548
uniform,1000,0,31.97706084,549
binomial,10000,2,0.631357822,550
weibull,10000,0.353033319,,551
uniform,10000,0,3.567481311,552
weibull,10000,0.081800507,,553
poisson,1000,6,,554
weibull,10000,0.101635486,,555
weibull,1000,0.653157984,,556
uniform,10000,0,3.91888483,557
uniform,1000,0,43.84927499,558
normal,10000,27.68085086,8.138216038,559
uniform,1000,0,26.76480455,560
poisson,100000,33,,561
normal,1000,5.288714313,15.66370563,562
poisson,10000,20,,563
weibull,10000,0.500716949,,564
normal,10000,78.56702789,28.36125024,565
poisson,1000,96,,566
weibull,10000,0.638731442,,567
poisson,100000,31,,568
binomial,10000,118,0.119856473,569
binomial,100000,308,0.083692797,570
weibull,100000,0.081508746,,571
binomial,10000,66,0.893226103,572
binomial,100000,942,0.253832207,573
poisson,1000,31,,574
weibull,10000,0.682487283,,575
normal,1000,60.24870135,38.66312388,576
binomial,10000,746,0.935530338,577
weibull,100000,0.883645743,,578
poisson,1000,33,,579
binomial,100000,712,0.471300519,580
uniform,1000,0,5.538409837,581
weibull,100000,0.893414788,,582
poisson,1000,94,,583
weibull,100000,0.047975134,,584
uniform,1000,0,29.88108054,585
poisson,100000,91,,586
uniform,10000,0,4.532737039,587
normal,100000,80.26851213,2.382227913,588
poisson,10000,31,,589
binomial,10000,166,0.729542248,590
uniform,1000,0,43.52741508,591
normal,1000,86.28875708,37.23848757,592
binomial,1000,354,0.066407229,593
binomial,1000,690,0.496186131,594
uniform,10000,0,33.34389243,595
normal,100000,94.01411129,32.49977519,596
uniform,100000,0,8.833690978,597
weibull,1000,0.279322226,,598
weibull,1000,0.470813687,,599
weibull,10000,0.234925203,,600
binomial,1000,441,0.404602954,601
normal,100000,5.943416377,46.57258236,602
normal,100000,38.92541971,45.48313151,603
normal,10000,96.28937681,48.68722971,604
weibull,10000,0.822542566,,605
normal,10000,61.23724364,44.01267845,606
weibull,1000,0.724228397,,607
weibull,10000,0.6149174,,608
poisson,100000,16,,609
poisson,1000,99,,610
weibull,10000,0.073607791,,611
normal,10000,39.74926608,36.35740579,612
uniform,10000,0,30.49783196,613
uniform,10000,0,7.010818264,614
weibull,10000,0.320167271,,615
normal,1000,72.8467836,47.81853826,616
poisson,100000,19,,617
weibull,10000,0.517886002,,618
poisson,1000,14,,619
weibull,10000,0.972015129,,620
binomial,10000,633,0.937179765,621
binomial,10000,903,0.51451471,622
poisson,1000,78,,623
binomial,10000,729,0.693438844,624
uniform,10000,0,2.131077249,625
uniform,100000,0,42.29339864,626
binomial,10000,317,0.063235109,627
poisson,10000,99,,628
poisson,100000,36,,629
binomial,1000,909,0.700185922,630
binomial,1000,278,0.735967046,631
uniform,10000,0,18.23511613,632
normal,100000,3.985808787,30.59501791,633
binomial,100000,950,0.066507206,634
normal,100000,24.89296007,19.89809382,635
weibull,100000,0.18804353,,636
poisson,100000,94,,637
poisson,10000,4,,638
weibull,100000,0.284376865,,639
normal,100000,64.61323941,3.80205683,640
binomial,100000,563,0.817619234,641
poisson,10000,19,,642
normal,100000,28.74544874,13.62342258,643
uniform,1000,0,21.42353585,644
normal,100000,62.5020248,1.53833842,645
poisson,10000,9,,646
poisson,100000,37,,647
weibull,1000,0.978407974,,648
poisson,100000,49,,649
uniform,1000,0,4.981193392,650
poisson,1000,97,,651
normal,10000,1.858704345,24.01861927,652
normal,100000,42.56546035,19.38331744,653
binomial,1000,240,0.217594382,654
binomial,1000,526,0.952833047,655
poisson,10000,5,,656
binomial,10000,976,0.85362842,657
weibull,10000,0.825154328,,658
binomial,1000,301,0.150951058,659
weibull,100000,0.952461836,,660
weibull,100000,0.844034831,,661
uniform,10000,0,32.08134389,662
normal,1000,83.45817927,26.3027136,663
normal,100000,7.448577666,32.62436454,664
poisson,1000,51,,665
normal,1000,53.42437246,48.2487675,666
weibull,1000,0.505005076,,667
weibull,10000,0.679852573,,668
uniform,100000,0,30.47157132,669
weibull,1000,0.942602482,,670
uniform,100000,0,30.10999831,671
normal,100000,9.793664046,22.45800811,672
binomial,10000,952,0.305123521,673
uniform,1000,0,4.13302565,674
weibull,10000,0.72535394,,675
binomial,1000,225,0.183438077,676
uniform,1000,0,12.04900581,677
weibull,1000,0.998998581,,678
weibull,100000,0.258668944,,679
uniform,10000,0,4.645586579,680
normal,10000,73.86214112,9.203453133,681
uniform,10000,0,25.40174193,682
poisson,1000,68,,683
binomial,10000,586,0.79943349,684
weibull,10000,0.059556984,,685
weibull,10000,0.039405617,,686
binomial,100000,56,0.874164207,687
normal,1000,59.73688889,45.08558649,688
weibull,100000,0.54098432,,689
normal,100000,86.73295981,23.90998269,690
uniform,100000,0,2.107796292,691
weibull,10000,0.487983746,,692
uniform,1000,0,22.22118954,693
binomial,100000,620,0.756945674,694
binomial,10000,860,0.799672831,695
binomial,1000,798,0.973149895,696
binomial,100000,537,0.931561602,697
binomial,10000,942,0.498709611,698
normal,1000,57.13204719,7.518520557,699
poisson,100000,2,,700
normal,1000,56.85669427,28.5673323,701
normal,1000,13.49142454,5.40081782,702
weibull,100000,0.634366272,,703
weibull,10000,0.421193892,,704
uniform,1000,0,6.915762845,705
normal,1000,19.67131904,5.387520409,706
normal,1000,17.77412351,34.3453416,707
normal,1000,47.84524929,17.67246758,708
uniform,10000,0,3.613962989,709
binomial,1000,695,0.125304261,710
binomial,10000,926,0.387453273,711
poisson,1000,35,,712
binomial,100000,212,0.986408308,713
uniform,10000,0,16.16578643,714
weibull,10000,0.707765432,,715
uniform,10000,0,40.60854725,716
poisson,100000,7,,717
normal,10000,11.489736,41.28674423,718
binomial,10000,595,0.396538937,719
normal,100000,47.69713389,27.79774908,720
poisson,1000,16,,721
binomial,1000,899,0.115599064,722
normal,1000,9.764672408,12.01525891,723
normal,10000,20.4558453,19.48099454,724
poisson,1000,99,,725
uniform,100000,0,27.1685108,726
uniform,10000,0,28.33493775,727
uniform,1000,0,45.23828066,728
binomial,1000,413,0.643333878,729
binomial,1000,145,0.778106973,730
normal,100000,2.202402323,42.42704568,731
weibull,1000,0.835889598,,732
binomial,10000,164,0.613929798,733
binomial,10000,283,0.953122357,734
normal,10000,24.9824577,3.867387673,735
poisson,100000,35,,736
uniform,1000,0,43.58456065,737
weibull,100000,0.877423623,,738
binomial,1000,599,0.87316409,739
uniform,1000,0,26.87804313,740
poisson,100000,97,,741
uniform,100000,0,7.169932629,742
poisson,1000,61,,743
poisson,10000,46,,744
weibull,1000,0.610203233,,745
normal,10000,53.28832289,3.847498523,746
weibull,10000,0.773516977,,747
normal,100000,9.652941728,44.753255,748
poisson,10000,11,,749
normal,10000,95.19622876,17.55527247,750
binomial,1000,877,0.592773049,751
normal,1000,67.73483089,22.12177183,752
poisson,100000,94,,753
weibull,10000,0.487928814,,754
weibull,10000,0.597350113,,755
normal,1000,60.37742722,45.03235486,756
poisson,1000,99,,757
uniform,1000,0,46.97041228,758
binomial,100000,396,0.635235989,759
uniform,10000,0,38.27425248,760
normal,10000,85.20676763,14.55823,761
poisson,10000,82,,762
poisson,10000,67,,763
binomial,1000,158,0.040205114,764
normal,100000,52.60579745,36.24805264,765
poisson,100000,46,,766
binomial,10000,462,0.316927934,767
normal,100000,92.99231339,9.296530585,768
poisson,10000,18,,769
weibull,10000,0.259038596,,770
uniform,100000,0,43.87778869,771
poisson,100000,63,,772
uniform,100000,0,10.16115966,773
uniform,1000,0,12.59779551,774
weibull,1000,0.255427422,,775
uniform,100000,0,35.45500894,776
weibull,1000,0.37359784,,777
normal,1000,0.898285331,41.39675424,778
uniform,1000,0,44.29863586,779
normal,1000,74.54573404,22.64136817,780
weibull,10000,0.435847819,,781
weibull,100000,0.316689658,,782
poisson,10000,9,,783
binomial,100000,290,0.888184209,784
binomial,10000,883,0.614456154,785
uniform,10000,0,4.117090605,786
binomial,1000,871,0.50721399,787
binomial,1000,122,0.919962216,788
uniform,100000,0,7.667228409,789
binomial,100000,328,0.233051837,790
poisson,1000,32,,791
normal,1000,78.11466017,40.82685097,792
weibull,1000,0.92285259,,793
poisson,1000,26,,794
weibull,100000,0.858608632,,795
binomial,100000,844,0.910131262,796
weibull,10000,0.202968426,,797
weibull,10000,0.960053235,,798
uniform,10000,0,4.23796017,799
binomial,1000,535,0.595728317,800
poisson,1000,6,,801
binomial,10000,352,0.157763009,802
weibull,1000,0.57985183,,803
uniform,10000,0,45.06540754,804
poisson,1000,97,,805
weibull,10000,0.688219661,,806
normal,100000,2.577145953,3.3178531,807
poisson,10000,24,,808
normal,1000,23.33395165,23.98802535,809
poisson,1000,84,,810
binomial,10000,406,0.870559081,811
binomial,1000,669,0.829885924,812
binomial,100000,990,0.569390639,813
binomial,100000,137,0.815020408,814
binomial,100000,408,0.404323552,815
poisson,100000,53,,816
poisson,100000,83,,817
weibull,1000,0.588762225,,818
binomial,100000,991,0.616716874,819
binomial,1000,950,0.821356943,820
poisson,10000,39,,821
normal,100000,92.68839465,32.59991106,822
poisson,100000,20,,823
uniform,1000,0,47.01804099,824
poisson,10000,58,,825
normal,1000,57.20815768,3.197842388,826
poisson,100000,55,,827
binomial,100000,241,0.201181266,828
poisson,10000,88,,829
normal,100000,83.23010389,48.45032404,830
weibull,1000,0.649304011,,831
poisson,1000,16,,832
poisson,1000,69,,833
poisson,10000,30,,834
uniform,10000,0,31.86198429,835
poisson,10000,15,,836
binomial,100000,392,0.396143275,837
normal,1000,58.81488505,38.69843949,838
poisson,1000,72,,839
poisson,10000,71,,840
normal,1000,14.76278426,32.37766298,841
weibull,10000,0.846440321,,842
weibull,100000,0.048558751,,843
poisson,100000,2,,844
uniform,1000,0,9.713955936,845
poisson,1000,65,,846
binomial,1000,590,0.37456321,847
uniform,1000,0,19.59005358,848
binomial,10000,958,0.14871441,849
normal,1000,33.12830812,7.270998854,850
weibull,10000,0.839948315,,851
binomial,1000,494,0.264609158,852
uniform,1000,0,36.2360025,853
uniform,10000,0,3.329593588,854
poisson,100000,83,,855
binomial,1000,719,0.413211266,856
weibull,1000,0.45570562,,857
binomial,10000,831,0.030608798,858
normal,10000,13.49507287,40.43399378,859
